Date;Action;Tickers;Nombre;Prix;Monnaie;Total;Change;En dollars
2020/1/27;Depot;Cash;9000;1;Euros;9000;1.10623;9956.07
2020/2/7;Achat;URW.PA;15;121.95;Euros;1829.25;1.0942;2001.56535
2020/2/13;Achat;AGNC;95;19.08;Dollars;1812.6;1;1812.6
2020/2/18;Achat;RITM;100;17.62;Dollars;1762;1;1762
2020/2/18;Achat;O;22;80.16;Dollars;1763.52;1;1763.52
2020/2/18;Achat;APLE;118;15.27;Dollars;1801.86;1;1801.86
2020/2/21;Achat;DG.PA;14;105.65;Euros;1479.1;1.08453;1604.128323
2020/2/17;Depot;Cash;3000;1;Euros;3000;1.08488;3254.64
2020/2/26;Achat;AGNC;55;18.47;Dollars;1015.85;1;1015.85
2020/3/2;Achat;URW.PA;4;105.8;Euros;423.2;1.11412;471.495584
2020/3/5;Achat;T;40;37.74;Dollars;1509.6;1;1509.6
2020/3/2;Depot;Cash;3000;1;Euros;3000;1.13972;3419.16
2020/3/10;Achat;KO;12;53.56;Dollars;642.72;1;642.72
2020/3/11;Achat;DG.PA;6;78.1;Euros;468.6;1.12606;527.671716
2020/3/11;Achat;MCD;3;188;Dollars;564;1;564
2020/3/18;Achat;URW.PA;10;48.26;Dollars;482.6;1;482.6
2020/4/2;Achat;ML.PA;3;80.02;Euros;240.06;1.08462;260.3738772
2020/4/2;Achat;TTE.PA;13;36.35;Euros;472.55;1.08462;512.537181
2020/3/2;Depot;Cash;500;1;Euros;500;1.13972;569.86
2020/4/28;Achat;TTE.PA;4;32.33;Euros;129.32;1.08328;140.0897696
2020/4/28;Achat;TTE.PA;15;32.25;Euros;483.75;1.08328;524.0367
2020/4/27;Depot;Cash;600;1;Euros;600;1.09031;654.186
2020/6/3;Achat;JNJ;3;148.28;Dollars;444.84;1;444.84
2020/6/4;Achat;TTE.PA;3;36.27;Euros;108.81;1.13364;123.3513684
2020/6/1;Depot;Cash;500;1;Euros;500;1.13049;565.245
2020/7/8;Achat;CAT;4;127.54;Dollars;510.16;1;510.16
2020/7/6;Depot;Cash;500;1;Euros;500;1.13453;567.265
2020/7/31;Achat;MMM;5;151.19;Dollars;755.95;1;755.95
2020/7/27;Depot;Cash;600;1;Euros;600;1.1761;705.66
2020/8/24;Depot;Cash;500;1;Euros;500;1.1937;596.85
2020/9/1;Vente;APLE;-118;10.3;Dollars;-1215.4;1;-1215.4
2020/9/1;Achat;JNJ;4;151.09;Dollars;604.36;1;604.36
2020/9/1;Achat;V;3;212.96;Dollars;638.88;1;638.88
2020/9/1;Achat;AAPL;4;131.87;Dollars;527.48;1;527.48
2020/9/28;Depot;Cash;500;1;Euros;500;1.179;589.5
2020/10/1;Achat;T;19;28.38;Dollars;539.22;1;539.22
2020/10/26;Depot;Cash;500;1;Euros;500;1.1641;582.05
2020/11/5;Achat;TTE.PA;6;27.51;Euros;165.06;1.18169;195.0497514
2020/11/5;Achat;TGT;3;158.63;Dollars;475.89;1;475.89
2020/11/12;Vente;ML.PA;-3;103.25;Euros;-309.75;1.1804;-365.6289
