Date;Action;Tickers;Quantite;Cours;Somme HT;Gestion;Comission;Montant
2022/1/10;Depot;Cash;80;1;80;0.00%;0;80
2022/1/11;Depot;Cash;50;1;50;0.00%;0;50
2022/1/13;Depot;Cash;10000;1;10000;0.00%;0;10000
2022/1/14;Depot;Cash;4000;1;4000;0.00%;0;4000
2022/1/14;Achat;PE500.PA;300;32.397;9719.1;0.50%;48.6;9767.7
2022/1/17;Depot;Cash;5000;1;5000;0.00%;0;5000
2022/1/17;Achat;PANX.PA;160;39.617;6338.72;0.50%;31.69;6370.41
2022/1/17;Achat;PE500.PA;90;32.584;2932.56;0.50%;14.66;2947.22
2022/1/18;Depot;Cash;7250;1;7250;0.00%;0;7250
2022/1/18;Achat;PE500.PA;220;32.375;7122.5;0.50%;35.61;7158.11
2022/2/1;Depot;Cash;500;1;500;0.00%;0;500
2022/2/1;Achat;PE500.PA;14;31.811;445.35;0.50%;2.23;447.58
2022/2/1;Achat;PANX.PA;4;38.283;153.13;0.50%;0.77;153.9
2022/3/3;Depot;Cash;35;1;35;0.00%;0;35
2022/3/4;Depot;Cash;500;1;500;0.00%;0;500
2022/3/4;Depot;Cash;20;1;20;0.00%;0;20
2022/3/4;Achat;PANX.PA;15;36.569;548.54;0.50%;2.74;551.28
2022/4/4;Depot;Cash;500;1;500;0.00%;0;500
2022/4/5;Achat;PE500.PA;15;33.267;499.01;0.50%;2.5;501.5
2022/5/5;Depot;Cash;500;1;500;0.00%;0;500
2022/5/10;Achat;PE500.PA;5;30.486;152.43;0.50%;0.76;153.19
2022/5/10;Achat;PANX.PA;11;33.983;373.81;0.50%;1.87;375.68
2022/6/3;Depot;Cash;500;1;500;0.00%;0;500
2022/6/3;Achat;PE500.PA;10;30.975;309.75;0.50%;1.55;311.3
2022/6/3;Achat;PANX.PA;5;34.553;172.77;0.50%;0.86;173.63
2022/7/1;Depot;Cash;500;1;500;0.00%;0;500
2022/7/1;Achat;PE500.PA;10;28.91;289.1;0.50%;1.45;290.55
2022/7/1;Achat;PANX.PA;7;31.759;222.31;0.50%;1.11;223.42
2022/8/1;Depot;Cash;1000;1;1000;0.00%;0;1000
2022/8/3;Achat;PE500.PA;30;32.276;968.28;0.50%;4.84;973.12
2022/9/7;Depot;Cash;5000;1;5000;0.00%;0;5000
2022/9/8;Achat;PE500.PA;22;32.199;708.38;0.50%;3.54;711.92
2022/9/8;Achat;PANX.PA;7;35.907;251.35;0.50%;1.26;252.61
2022/9/12;Achat;PE500.PA;70;32.645;2285.15;0.50%;11.43;2296.58
2022/9/13;Achat;LQQ.PA;1;549.9;549.9;0.50%;2.75;552.65
2022/9/13;Achat;LQQ.PA;2;593.6;1187.2;0.50%;5.94;1193.14
2022/9/15;Depot;Cash;2000;1;2000;0.00%;0;2000
2022/9/15;Achat;PE500.PA;62;31.889;1977.12;0.50%;9.89;1987
2022/11/7;Depot;Cash;500;1;500;0.00%;0;500
2022/11/7;Achat;PE500.PA;12;30.434;365.21;0.50%;1.83;367.03
2022/11/7;Achat;PANX.PA;5;31.574;157.87;0.50%;0.79;158.66
2022/12/2;Depot;Cash;500;1;500;0.00%;0;500
2022/12/7;Achat;LQQ.PA;1;454.4;454.4;0.50%;2.27;456.67
2022/12/29;Depot;Cash;500;1;500;0.00%;0;500
2023/1/4;Achat;PE500.PA;8;29.307;234.46;0.50%;1.17;235.63
2023/1/4;Achat;PANX.PA;10;29.894;298.94;0.50%;1.49;300.43
2023/2/6;Depot;Cash;650;1;650;0.00%;0;650
2023/2/15;Achat;EWLD.PA;27;24.483;661.04;0.50%;3.31;664.35
2023/2/28;Depot;Cash;670;1;670;0.00%;0;670
2023/3/1;Achat;EWLD.PA;28;23.95;670.6;0.50%;3.35;673.95
2023/4/3;Depot;Cash;650;1;650;0.00%;0;650
2023/4/3;Achat;EWLD.PA;26;24.13;627.38;0.50%;3.14;630.52
2023/5/9;Depot;Cash;650;1;650;0.00%;0;650
2023/5/9;Achat;EWLD.PA;27;24.163;652.4;0.50%;3.26;655.66
2023/5/31;Depot;Cash;650;1;650;0.00%;0;650
2023/5/31;Achat;EWLD.PA;26;24.845;645.97;0.50%;3.23;649.2
2023/6/16;Achat;EWLD.PA;28;25.632;717.7;0.50%;3.59;721.28
2023/6/16;Vente;LQQ.PA;-1;717.9;-717.9;0.50%;3.59;-714.31
2023/7/10;Depot;Cash;650;1;650;0.00%;0;650
2023/7/10;Achat;EWLD.PA;26;25.11;652.86;0.50%;3.26;656.12
2023/8/1;Depot;Cash;650;1;650;0.00%;0;650
2023/8/1;Achat;EWLD.PA;24;26.238;629.71;0.50%;3.15;632.86
2023/9/1;Depot;Cash;650;1;650;0.00%;0;650
2023/9/15;Achat;EWLD.PA;25;26.544;663.6;0.50%;3.32;666.92
2023/10/2;Depot;Cash;650;1;650;0.00%;0;650
2023/10/2;Achat;EWLD.PA;25;25.516;637.9;0.50%;3.19;641.09
2023/10/13;Depot;Cash;650;1;650;0.00%;0;650
2023/11/13;Achat;PANX.PA;3;42.503;127.51;0.50%;0.64;128.15
2023/11/13;Achat;EWLD.PA;20;25.693;513.86;0.50%;2.57;516.43
2023/12/6;Depot;Cash;650;1;650;0.00%;0;650
2023/12/7;Achat;PANX.PA;13;42.745;555.69;0.50%;2.78;558.46
2023/12/7;Achat;EWLD.PA;4;26.55;106.2;0.50%;0.53;106.73
2023/12/27;Depot;Cash;650;1;650;0.00%;0;650
2024/1/10;Achat;PANX.PA;11;44.113;485.24;0.41%;1.99;487.23
2024/1/10;Achat;EWLD.PA;6;27.313;163.88;0.50%;0.82;164.7
