Date;Valeur du portefeuille;Valeur investie;Difference_Valeur_Investie;HP
2022-01-10;80.0;80;0.0;1.0
2022-01-11;130.0;130;50.0;1.0
2022-01-12;130.0;130;0.0;1.0
2022-01-13;10130.0;10130;10000.0;1.0
2022-01-14;14051.4;14130;4000.0;0.994
2022-01-15;14135.1;14130;0.0;1.006
2022-01-16;14135.1;14130;0.0;1.0
2022-01-17;19077.79;19130;5000.0;0.997
2022-01-18;26023.5;26380;7250.0;0.988
2022-01-19;25825.52;26380;0.0;0.992
2022-01-20;26056.14;26380;0.0;1.009
2022-01-21;25368.48;26380;0.0;0.974
2022-01-22;24233.99;26380;0.0;0.955
2022-01-23;24233.99;26380;0.0;1.0
2022-01-24;24233.99;26380;0.0;1.0
2022-01-25;24525.43;26380;0.0;1.012
2022-01-26;25091.68;26380;0.0;1.023
2022-01-27;25263.48;26380;0.0;1.007
2022-01-28;25018.69;26380;0.0;0.99
2022-01-29;25589.39;26380;0.0;1.023
2022-01-30;25589.39;26380;0.0;1.0
2022-01-31;25589.39;26380;0.0;1.0
2022-02-01;26269.156;26880;500.0;1.007
2022-02-02;26356.808;26880;0.0;1.003
2022-02-03;25785.008;26880;0.0;0.978
2022-02-04;25490.06;26880;0.0;0.989
2022-02-05;25644.256;26880;0.0;1.006
2022-02-06;25644.256;26880;0.0;1.0
2022-02-07;25644.256;26880;0.0;1.0
2022-02-08;25786.024;26880;0.0;1.006
2022-02-09;26109.964;26880;0.0;1.013
2022-02-10;25907.78;26880;0.0;0.992
2022-02-11;25655.468;26880;0.0;0.99
2022-02-12;25443.42;26880;0.0;0.992
2022-02-13;25443.42;26880;0.0;1.0
2022-02-14;25443.42;26880;0.0;1.0
2022-02-15;25647.576;26880;0.0;1.008
2022-02-16;25475.112;26880;0.0;0.993
2022-02-17;25389.396;26880;0.0;0.997
2022-02-18;25015.82;26880;0.0;0.985
2022-02-19;24702.752;26880;0.0;0.987
2022-02-20;24702.752;26880;0.0;1.0
2022-02-21;24702.752;26880;0.0;1.0
2022-02-22;24824.48;26880;0.0;1.005
2022-02-23;24640.988;26880;0.0;0.993
2022-02-24;24554.276;26880;0.0;0.996
2022-02-25;25301.064;26880;0.0;1.03
2022-02-26;25452.872;26880;0.0;1.006
2022-02-27;25452.872;26880;0.0;1.0
2022-02-28;25452.872;26880;0.0;1.0
2022-03-01;25394.012;26880;0.0;0.998
2022-03-02;25720.456;26880;0.0;1.013
2022-03-03;25785.556;26915;35.0;1.001
2022-03-04;26161.557;27435;520.0;0.995
2022-03-05;26036.46;27435;0.0;0.995
2022-03-06;26036.46;27435;0.0;1.0
2022-03-07;26036.46;27435;0.0;1.0
2022-03-08;25339.33;27435;0.0;0.973
2022-03-09;25613.858;27435;0.0;1.011
2022-03-10;25403.551;27435;0.0;0.992
2022-03-11;25713.203;27435;0.0;1.012
2022-03-12;25234.365;27435;0.0;0.981
2022-03-13;25234.365;27435;0.0;1.0
2022-03-14;25234.365;27435;0.0;1.0
2022-03-15;25619.639;27435;0.0;1.015
2022-03-16;26113.14;27435;0.0;1.019
2022-03-17;26178.494;27435;0.0;1.003
2022-03-18;26664.007;27435;0.0;1.019
2022-03-19;26881.891;27435;0.0;1.008
2022-03-20;26881.891;27435;0.0;1.0
2022-03-21;26881.891;27435;0.0;1.0
2022-03-22;27254.079;27435;0.0;1.014
2022-03-23;27250.4;27435;0.0;1.0
