Date,Somme_valeur_total
2022-01-10,0.0
2022-01-11,0.0
2022-01-12,0.0
2022-01-13,0.0
2022-01-14,0.0
2022-01-15,9689.1
2022-01-16,9689.1
2022-01-17,9689.1
2022-01-18,19033.12
2022-01-19,25886.94
2022-01-20,25688.96
2022-01-21,25919.579999999998
2022-01-22,25231.920000000002
2022-01-23,25231.920000000002
2022-01-24,25231.920000000002
2022-01-25,24097.43
2022-01-26,24388.870000000003
2022-01-27,24955.12
2022-01-28,25126.92
2022-01-29,24882.13
2022-01-30,24882.13
2022-01-31,24882.13
2022-02-01,25452.83
2022-02-02,26234.075999999997
2022-02-03,26321.728
2022-02-04,25749.928
2022-02-05,25454.98
2022-02-06,25454.98
2022-02-07,25454.98
2022-02-08,25609.176
2022-02-09,25750.944
2022-02-10,26074.884
2022-02-11,25872.7
2022-02-12,25620.388
2022-02-13,25620.388
2022-02-14,25620.388
2022-02-15,25408.34
2022-02-16,25612.496
2022-02-17,25440.032
2022-02-18,25354.316
2022-02-19,24980.739999999998
2022-02-20,24980.739999999998
2022-02-21,24980.739999999998
2022-02-22,24667.672
2022-02-23,24789.399999999998
2022-02-24,24605.908
2022-02-25,24519.196
2022-02-26,25265.984
2022-02-27,25265.984
2022-02-28,25265.984
2022-03-01,25417.792
2022-03-02,25358.932
2022-03-03,25685.375999999997
2022-03-04,25715.476
2022-03-05,26122.756999999998
2022-03-06,26122.756999999998
2022-03-07,26122.756999999998
2022-03-08,25997.66
2022-03-09,25300.53
2022-03-10,25575.057999999997
2022-03-11,25364.751
2022-03-12,25674.403
2022-03-13,25674.403
2022-03-14,25674.403
2022-03-15,25195.565000000002
2022-03-16,25580.839
2022-03-17,26074.339999999997
2022-03-18,26139.694
2022-03-19,26625.207000000002
2022-03-20,26625.207000000002
2022-03-21,26625.207000000002
2022-03-22,26843.091
2022-03-23,27215.279000000002
2022-03-24,27211.6
2022-03-25,27188.549
2022-03-26,27390.236
2022-03-27,27390.236
2022-03-28,27390.236
2022-03-29,27564.719
2022-03-30,27738.143
2022-03-31,27603.965
2022-04-01,27631.550000000003
2022-04-02,27385.756999999998
2022-04-03,27385.756999999998
2022-04-04,27385.756999999998
2022-04-05,27795.045
2022-04-06,28397.491
2022-04-07,27755.914
2022-04-08,27708.72
2022-04-09,28042.445999999996
2022-04-10,28042.445999999996
2022-04-11,28042.445999999996
2022-04-12,27499.93
2022-04-13,27721.747
2022-04-14,27537.832000000002
2022-04-15,27678.613999999998
2022-04-16,0.0
2022-04-17,0.0
2022-04-18,0.0
2022-04-19,0.0
2022-04-20,27813.720999999998
2022-04-21,27717.017
2022-04-22,27768.394999999997
2022-04-23,27025.843
2022-04-24,27025.843
2022-04-25,27025.843
2022-04-26,26553.33
2022-04-27,26592.158
2022-04-28,26840.884000000002
2022-04-29,26972.022
2022-04-30,26969.191
2022-05-01,26969.191
2022-05-02,26969.191
2022-05-03,26320.433999999997
2022-05-04,26791.556
2022-05-05,26402.859
2022-05-06,26572.468
2022-05-07,26181.35
2022-05-08,26181.35
2022-05-09,26181.35
2022-05-10,25495.989999999998
2022-05-11,25835.048
2022-05-12,26074.388
2022-05-13,25710.112
2022-05-14,26401.016000000003
2022-05-15,26401.016000000003
2022-05-16,26401.016000000003
2022-05-17,26286.032
2022-05-18,26378.087999999996
2022-05-19,25873.744000000002
2022-05-20,25260.332000000002
2022-05-21,25062.786
2022-05-22,25062.786
2022-05-23,25062.786
2022-05-24,25313.760000000002
2022-05-25,24637.025999999998
2022-05-26,25200.059999999998
2022-05-27,25656.726
2022-05-28,26319.808
2022-05-29,26319.808
2022-05-30,26319.808
2022-05-31,26529.138
2022-06-01,26248.757999999998
2022-06-02,26257.158000000003
2022-06-03,26308.556
2022-06-04,26675.712
2022-06-05,26675.712
2022-06-06,26675.712
2022-06-07,26928.608999999997
2022-06-08,26827.83
2022-06-09,26960.004
2022-06-10,26757.357
2022-06-11,25823.781
